id,project_name,street_name,area_type,property_type,tenure,tenure_start,postal_district,market_segment,latitude,longitude,num_units,top,developer
1,thomson imperial court,upper thomson road,strata,apartment,freehold,,20,rest of central region,1.351844991570620,103.836053648292000,,,
2,evergreen park,hougang avenue 7,strata,apartment,99,1995.0,19,outside central region,1.369533765865930,103.899580575626000,394.0,1999.0,evergreen park pte ltd
3,stars of kovan,upper serangoon road,strata,apartment,99,2015.0,19,outside central region,1.361282560839070,103.887841093656000,441.0,2020.0,asset legend limited
4,the waterline,poh huat road west,strata,condominium,freehold,,19,outside central region,1.367277092599520,103.876501360155000,103.0,2013.0,waterline development pte ltd
5,bartley residences,lorong how sun,strata,apartment,99,2011.0,19,outside central region,1.342488691550630,103.881530760531000,702.0,2015.0,"bartley development pte ltd,hong lwong holdings ltd"
6,the panorama,ang mo kio avenue 2,strata,condominium,99,2013.0,20,outside central region,1.375884494210650,103.834226632654000,698.0,2019.0,pinehill investments pte. ltd.
7,kovan crest,kovan road,strata,apartment,freehold,,19,outside central region,1.358236296750240,103.881478634217000,,,
8,the minton,hougang street 11,strata,condominium,99,2007.0,19,outside central region,1.352862782495020,103.881483192765000,1145.0,2014.0,peak garden pte ltd
9,thomson grand,sin ming walk,strata,condominium,99,2010.0,20,rest of central region,1.365830363224510,103.828604372407000,361.0,2015.0,luxury green development pte ltd
10,tangerine grove,paya lebar crescent,strata,condominium,freehold,,19,outside central region,1.350256623939260,103.880579427111000,125.0,2007.0,frasers centrepoint homes
11,the tembusu,tampines road,strata,condominium,freehold,,19,outside central region,1.361606901950930,103.890029372368000,337.0,2017.0,winsmart investment pte ltd (wing tai asia)
12,the luxurie,compassvale road,strata,condominium,99,2011.0,19,outside central region,1.389264439432360,103.896575260269000,622.0,2015.0,keppel land
13,kovan residences,kovan road,strata,condominium,99,2007.0,19,outside central region,1.361567291116490,103.885363752044000,521.0,2011.0,centurion kovan pte ltd
14,cherryhill,lorong lew lian,strata,condominium,freehold,,19,outside central region,1.350744656330600,103.877918204518000,163.0,1994.0,winwards investment pte ltd (wing tai asia)
15,jewel @ buangkok,compassvale bow,strata,condominium,99,2012.0,19,outside central region,1.380581174331100,103.892368596692000,616.0,2017.0,white haven properties pte ltd (city developments limited)
16,kingsford waterbay,upper serangoon view,strata,apartment,99,2014.0,19,outside central region,1.373270429860880,103.902580589142000,1165.0,2018.0,
17,fiorenza,florence road,strata,apartment,freehold,,19,outside central region,1.363622569257270,103.885979254519000,28.0,2012.0,koh brothers development pte ltd
18,sengkang grand residences,compassvale bow,strata,apartment,99,2018.0,19,outside central region,1.384102442279210,103.892705526466000,680.0,2024.0,siena residential development pte ltd/siena trustee pte ltd (city development limited/ capitaland)
19,forest woods,lorong lew lian,strata,condominium,99,2016.0,19,outside central region,1.351662122773480,103.876667125341000,519.0,2021.0,city developments limited (cdl)
20,the bently residences@kovan,kovan road,strata,apartment,freehold,,19,outside central region,1.357902987765190,103.880285561005000,,,
21,riverfront residences,hougang avenue 7,strata,apartment,99,2018.0,19,outside central region,1.371912560799020,103.900549498019000,1472.0,2024.0,rio casa venture pte ltd (oxley holdings limited/ ksh holdings limited/ slb development ltd/ apricot capital)
22,sunglade,serangoon avenue 2,strata,condominium,99,2000.0,19,outside central region,1.348279516543260,103.871668377219000,475.0,2003.0,capitaland residential
23,the garden residences,serangoon north view,strata,apartment,99,2017.0,19,outside central region,1.365583003122610,103.870850408279000,613.0,2021.0,keppel land & wing tai
24,peirce view,upper thomson road,strata,condominium,freehold,,20,outside central region,1.371756973613370,103.828179854072000,66.0,1996.0,caudeville pte ltd
25,the scala,serangoon avenue 3,strata,apartment,99,2010.0,19,outside central region,1.350972190106430,103.865462244407000,468.0,2013.0,circle line pte ltd
26,hougang green,buangkok green,strata,apartment,99,1994.0,19,outside central region,1.379923769086740,103.887491361899000,90.0,1998.0,hougang point pte ltd (hiap hoe group)
27,botanique at bartley,upper paya lebar road,strata,condominium,99,2014.0,19,outside central region,1.341972938734280,103.882635407026000,797.0,2019.0,
28,bliss@kovan,simon lane,strata,condominium,freehold,,19,outside central region,1.363091195544900,103.883684814227000,,,
29,parc centros,punggol central,strata,condominium,99,2012.0,19,outside central region,1.303756658901040,103.791933300366000,618.0,2016.0,wee hur holdings
30,the quartz,compassvale bow,strata,condominium,99,2005.0,19,outside central region,1.380883359617340,103.894307289305000,625.0,2009.0,winterhall pte ltd (guocoland ltd)
31,boathouse residences,upper serangoon view,strata,condominium,99,2011.0,19,outside central region,1.375578551842550,103.903316771617000,493.0,2015.0,"easthouse properties pte ltd (far east organization,frasers centrepoint homes,sekisui house)"
32,rio vista,upper serangoon view,strata,condominium,99,2001.0,19,outside central region,1.373050381786470,103.902039407109000,716.0,2004.0,bodenheim investments pte ltd
33,far horizon gardens,ang mo kio avenue 9,strata,condominium,99,1982.0,20,outside central region,1.383658068969780,103.839178052854000,,,
34,the florence residences,hougang avenue 2,strata,apartment,99,2018.0,19,outside central region,1.367529036699640,103.885891297269000,1410.0,2024.0,florence development pte. ltd. (logan property (singapore) company pte. limited)
35,affinity at serangoon,serangoon north avenue 1,strata,apartment,99,2018.0,19,outside central region,1.365736637639640,103.874422420465000,1052.0,2024.0,oxley serangoon pte ltd (oxley holdings ltd/ slb development ltd/ apricot capital/ ksh holdings ltd)
36,thomson impressions,lorong puntong,strata,apartment,99,2015.0,20,rest of central region,1.359948261776520,103.830129923282000,288.0,2019.0,nanshan group
37,chuan park,lorong chuan,strata,condominium,99,2024.0,19,outside central region,1.351753881727110,103.858086195677000,916.0,2028.0,kingsford development pte ltd
38,isuites @ palm,glasgow road,strata,apartment,999,1878.0,19,outside central region,1.360999084655040,103.878765486537000,64.0,2013.0,i development pte ltd
39,kovan regency,kovan rise,strata,condominium,99,2012.0,19,outside central region,1.363657001646030,103.885033559983000,393.0,2015.0,hoi hup kovan development pte ltd
40,river isles,edgedale plains,strata,condominium,99,2012.0,19,outside central region,1.396665683244550,103.913232871898000,610.0,2015.0,qingjian realty
41,the gardens at bishan,sin ming walk,strata,condominium,99,1997.0,20,rest of central region,1.364973338739330,103.830687158335000,756.0,2004.0,
42,suites @ paya lebar,upper paya lebar road,strata,apartment,freehold,,19,outside central region,1.350396576077090,103.880230544693000,99.0,2013.0,fragrance properties pte. ltd.
43,clover by the park,bishan street 25,strata,condominium,99,2007.0,20,rest of central region,1.359527893621780,103.845804982063000,616.0,2012.0,sim lian (bishan) pte ltd
44,nouvelle park,poh huat road west,strata,condominium,freehold,,19,outside central region,1.367239345169850,103.877869108023000,108.0,1994.0,greenery pte ltd
45,the springbloom,serangoon avenue 3,strata,condominium,99,1995.0,19,outside central region,1.351166416021000,103.863738621821000,372.0,1999.0,mcl land (serangoon) pte ltd
46,la fiesta,sengkang square,strata,condominium,99,2012.0,19,outside central region,1.389578955141280,103.895480900558000,810.0,2016.0,el development (sengkang) pte ltd
47,cardiff residence,cardiff grove,strata,condominium,99,2011.0,19,outside central region,1.354962465989750,103.865797958378000,163.0,2014.0,world class developments (central) pte ltd
48,watertown,punggol central,strata,apartment,99,2011.0,19,outside central region,1.406577431858010,103.902358706962000,992.0,2017.0,"emerald star pte ltd (frasers centrepoint homes, far east organization, sekisui house)"
49,rosalia park,lorong ong lye,strata,condominium,freehold,,19,outside central region,1.349179998778060,103.878657712313000,88.0,1995.0,lauw & sons pte ltd
