project_id,facility_name,facility_type,dist_meters
1,ai tong school,school,1484
1,marymount mrt,mrt,740
1,the adelphi,mall,1207
1,thomson plaza,mall,944
1,thomson v,mall,230
2,chij our lady of the nativity,school,685
2,hougang mrt,mrt,1156
2,hougang rivercourt,mall,1059
3,kovan mrt,mrt,481
3,tampines 1,mall,1050
4,rosyth school,school,790
5,bartley mrt,mrt,218
6,lentor mrt,mrt,1499
6,mayflower mrt,mrt,623
7,hougang 1,mall,919
7,imm,mall,652
7,kovan mrt,mrt,657
7,rosyth school,school,1441
7,upper serangoon shopping centre,mall,874
8,hougang 1,mall,680
8,imm,mall,816
8,kovan mrt,mrt,1307
8,serangoon mrt,mrt,1372
8,upper serangoon shopping centre,mall,439
9,ai tong school,school,1102
9,bright hill mrt,mrt,803
10,bartley mrt,mrt,1245
10,hougang 1,mall,802
10,imm,mall,1081
10,serangoon mrt,mrt,1133
10,upper serangoon shopping centre,mall,589
11,hougang mrt,mrt,1427
11,kovan mrt,mrt,833
11,tampines 1,mall,694
12,buangkok mrt,mrt,1114
12,buangkok square,mall,1114
12,sengkang grand mall,mall,1198
12,sengkang mrt,mrt,452
13,imm,mall,1464
13,kovan mrt,mrt,227
13,tampines 1,mall,1447
14,bartley mrt,mrt,1371
14,hougang 1,mall,552
14,imm,mall,910
14,serangoon mrt,mrt,720
14,upper serangoon shopping centre,mall,462
15,buangkok mrt,mrt,459
15,buangkok square,mall,459
15,chij our lady of the nativity,school,1437
15,hougang primary school,school,532
15,punggol cove primary school,school,532
15,punggol green primary school,school,532
15,punggol primary school,school,532
15,punggol view primary school,school,532
15,sengkang grand mall,mall,412
16,chij our lady of the nativity,school,807
17,hougang mrt,mrt,1479
17,kovan mrt,mrt,571
17,tampines 1,mall,1379
18,anchor green primary school,school,1345
18,bedok green primary school,school,1345
18,buangkok mrt,mrt,115
18,buangkok square,mall,115
18,hougang primary school,school,997
18,punggol cove primary school,school,997
18,punggol green primary school,school,997
18,punggol primary school,school,997
18,punggol view primary school,school,997
18,sengkang grand mall,mall,166
18,sengkang mrt,mrt,1313
19,hougang 1,mall,421
19,imm,mall,787
19,serangoon mrt,mrt,589
19,upper serangoon shopping centre,mall,454
20,hougang 1,mall,752
20,imm,mall,457
20,kovan mrt,mrt,853
20,rosyth school,school,1316
20,upper serangoon shopping centre,mall,747
21,chij our lady of the nativity,school,529
21,hougang mrt,mrt,1337
21,hougang primary school,school,1384
21,hougang rivercourt,mall,1203
21,punggol cove primary school,school,1384
21,punggol green primary school,school,1384
21,punggol primary school,school,1384
21,punggol view primary school,school,1384
22,hougang 1,mall,1328
22,lorong chuan mrt,mrt,1199
22,serangoon mrt,mrt,383
22,upper serangoon shopping centre,mall,1424
22,woodleigh mrt,mrt,1359
23,myvillage at serangoon garden,mall,921
23,rosyth school,school,641
25,chij our lady of good counsel,school,1061
25,chij our lady queen of peace,school,1061
25,lorong chuan mrt,mrt,113
25,serangoon mrt,mrt,1324
26,buangkok mrt,mrt,1031
26,buangkok square,mall,1031
26,hougang primary school,school,1190
26,punggol cove primary school,school,1190
26,punggol green primary school,school,1190
26,punggol primary school,school,1190
26,punggol view primary school,school,1190
26,sengkang grand mall,mall,932
27,bartley mrt,mrt,405
27,tai seng mrt,mrt,1435
28,imm,mall,1423
28,kovan mrt,mrt,517
29,buona vista mrt,mrt,476
29,commonwealth mrt,mrt,1135
29,fairfield methodist school (primary),school,1134
29,holland village mrt,mrt,1375
29,new town primary school,school,1474
29,north vista primary school,school,476
29,one holland village,mall,1284
29,one-north mrt,mrt,957
29,rochester mall,mall,664
29,the star vista,mall,476
30,buangkok mrt,mrt,466
30,buangkok square,mall,466
30,chij our lady of the nativity,school,1324
30,hougang primary school,school,434
30,punggol cove primary school,school,434
30,punggol green primary school,school,434
30,punggol primary school,school,434
30,punggol view primary school,school,434
30,sengkang grand mall,mall,487
31,chij our lady of the nativity,school,995
31,hougang primary school,school,1457
31,punggol cove primary school,school,1457
31,punggol green primary school,school,1457
31,punggol primary school,school,1457
31,punggol view primary school,school,1457
32,chij our lady of the nativity,school,721
32,hougang primary school,school,1448
32,hougang rivercourt,mall,1474
32,punggol cove primary school,school,1448
32,punggol green primary school,school,1448
32,punggol primary school,school,1448
32,punggol view primary school,school,1448
33,anderson primary school,school,370
33,ang mo kio primary school,school,370
33,lentor mrt,mrt,308
33,yio chu kang mrt,mrt,979
34,hougang mrt,mrt,1138
34,hougang rivercourt,mall,1290
34,kovan mrt,mrt,1185
35,myvillage at serangoon garden,mall,1498
35,rosyth school,school,434
36,ai tong school,school,477
36,bright hill mrt,mrt,696
36,the adelphi,mall,638
36,thomson plaza,mall,855
36,thomson v,mall,1393
37,chij our lady of good counsel,school,1319
37,chij our lady queen of peace,school,1319
37,lorong chuan mrt,mrt,1105
38,hougang 1,mall,1115
38,imm,mall,748
38,kovan mrt,mrt,1024
38,rosyth school,school,845
38,upper serangoon shopping centre,mall,1205
39,kovan mrt,mrt,557
41,ai tong school,school,798
41,bright hill mrt,mrt,447
41,the adelphi,mall,1448
42,bartley mrt,mrt,1265
42,hougang 1,mall,750
42,imm,mall,1038
42,serangoon mrt,mrt,1079
42,upper serangoon shopping centre,mall,543
43,bishan mrt,mrt,1443
44,rosyth school,school,920
45,chij our lady of good counsel,school,1005
45,chij our lady queen of peace,school,1005
45,lorong chuan mrt,mrt,196
46,anchor green primary school,school,1347
46,bedok green primary school,school,1347
46,buangkok mrt,mrt,1076
46,buangkok square,mall,1076
46,sengkang grand mall,mall,1151
46,sengkang mrt,mrt,360
47,chij our lady of good counsel,school,489
47,chij our lady queen of peace,school,489
47,lorong chuan mrt,mrt,582
48,punggol mrt,mrt,200
49,bartley mrt,mrt,1098
49,hougang 1,mall,821
49,imm,mall,1168
49,serangoon mrt,mrt,824
49,upper serangoon shopping centre,mall,690
50,ang mo kio mrt,mrt,198
51,ai tong school,school,656
51,bright hill mrt,mrt,731
51,the adelphi,mall,814
51,thomson plaza,mall,1061
52,bartley mrt,mrt,1326
52,hougang 1,mall,687
52,imm,mall,973
52,serangoon mrt,mrt,1063
52,upper serangoon shopping centre,mall,478
53,admiralty place,mall,1499
53,farrer road mrt,mrt,0
53,hillv2,mall,0
53,nanyang primary school,school,549
53,sunshine place,mall,1499
53,tan kah kee mrt,mrt,1441
53,westgate,mall,0
54,marymount mrt,mrt,530
54,thomson plaza,mall,1275
54,thomson v,mall,493
55,punggol mrt,mrt,427
56,marymount mrt,mrt,825
56,the adelphi,mall,1295
56,thomson plaza,mall,1020
56,thomson v,mall,651
57,bartley mrt,mrt,1113
57,hougang 1,mall,828
57,imm,mall,1189
57,serangoon mrt,mrt,684
57,upper serangoon shopping centre,mall,737
58,imm,mall,1239
58,myvillage at serangoon garden,mall,1455
58,rosyth school,school,0
59,braddell mrt,mrt,939
59,caldecott mrt,mrt,422
59,marymount convent school,school,259
59,marymount mrt,mrt,1343
60,bartley mrt,mrt,1311
60,hougang 1,mall,1108
60,imm,mall,1309
60,upper serangoon shopping centre,mall,867
61,ai tong school,school,834
61,bright hill mrt,mrt,434
62,bartley mrt,mrt,684
62,grantral mall,mall,1219
62,tai seng mrt,mrt,1112
63,ai tong school,school,1253
63,marymount mrt,mrt,951
63,the adelphi,mall,1031
63,thomson plaza,mall,785
63,thomson v,mall,0
64,ang mo kio mrt,mrt,963
64,yio chu kang mrt,mrt,1072
65,chij our lady of good counsel,school,1457
65,chij our lady queen of peace,school,1457
65,lorong chuan mrt,mrt,659
66,hougang 1,mall,1200
66,imm,mall,934
66,kovan mrt,mrt,375
66,upper serangoon shopping centre,mall,1136
67,anchor green primary school,school,1484
67,anchorvale village,mall,1469
67,bedok green primary school,school,1484
67,buangkok mrt,mrt,1483
67,buangkok square,mall,1483
67,sengkang mrt,mrt,134
68,kovan mrt,mrt,1120
68,tampines 1,mall,413
69,bartley mrt,mrt,1202
69,serangoon mrt,mrt,916
69,woodleigh mrt,mrt,741
70,chij our lady of the nativity,school,1450
70,hougang primary school,school,1288
70,punggol cove primary school,school,1288
70,punggol green primary school,school,1288
70,punggol primary school,school,1288
70,punggol view primary school,school,1288
71,hougang 1,mall,334
71,imm,mall,322
71,rosyth school,school,1235
71,serangoon mrt,mrt,1031
71,upper serangoon shopping centre,mall,571
72,hougang mrt,mrt,1043
72,hougang rivercourt,mall,1113
72,tampines 1,mall,407
73,chij our lady of good counsel,school,1365
73,chij our lady queen of peace,school,1365
73,lorong chuan mrt,mrt,458
73,serangoon mrt,mrt,1065
74,rosyth school,school,1013
75,sengkang mrt,mrt,1428
76,bishan mrt,mrt,655
77,bishan mrt,mrt,478
78,hougang 1,mall,872
78,imm,mall,504
78,kovan mrt,mrt,1102
78,rosyth school,school,897
78,upper serangoon shopping centre,mall,976
79,chij our lady of good counsel,school,1338
79,chij our lady queen of peace,school,1338
79,lorong chuan mrt,mrt,763
80,chij our lady of the nativity,school,1246
80,hougang primary school,school,1367
80,punggol cove primary school,school,1367
80,punggol green primary school,school,1367
80,punggol primary school,school,1367
80,punggol view primary school,school,1367
81,kovan mrt,mrt,1213
81,rosyth school,school,1077
82,bartley mrt,mrt,739
82,hougang 1,mall,1201
82,serangoon mrt,mrt,1113
82,upper serangoon shopping centre,mall,1038
84,imm,mall,1455
84,kovan mrt,mrt,288
85,kovan mrt,mrt,901
85,tampines 1,mall,1472
85,upper serangoon shopping centre,mall,1486
86,ai tong school,school,1396
86,bright hill mrt,mrt,965
86,mayflower mrt,mrt,1001
87,bartley mrt,mrt,642
87,upper serangoon shopping centre,mall,1408
88,bartley mrt,mrt,825
88,serangoon mrt,mrt,902
88,woodleigh mrt,mrt,1026
89,bartley mrt,mrt,1319
89,serangoon mrt,mrt,816
89,woodleigh mrt,mrt,822
90,hougang 1,mall,123
90,imm,mall,322
90,rosyth school,school,1428
90,serangoon mrt,mrt,957
90,upper serangoon shopping centre,mall,366
91,bishan mrt,mrt,903
91,braddell mrt,mrt,1347
91,marymount convent school,school,1333
91,marymount mrt,mrt,638
92,bishan mrt,mrt,1181
92,marymount mrt,mrt,437
92,thomson v,mall,915
93,hougang 1,mall,181
93,imm,mall,494
93,serangoon mrt,mrt,788
93,upper serangoon shopping centre,mall,386
94,chij our lady of the nativity,school,571
94,hougang mrt,mrt,441
94,hougang primary school,school,1199
94,hougang rivercourt,mall,317
94,punggol cove primary school,school,1199
94,punggol green primary school,school,1199
94,punggol primary school,school,1199
94,punggol view primary school,school,1199
94,tampines 1,mall,1440
95,ai tong school,school,1353
95,marymount mrt,mrt,825
95,the adelphi,mall,1177
95,thomson plaza,mall,931
95,thomson v,mall,145
96,bishan mrt,mrt,353
96,braddell mrt,mrt,1367
96,marymount mrt,mrt,1177
97,bartley mrt,mrt,1231
97,hougang 1,mall,703
97,imm,mall,1032
97,serangoon mrt,mrt,899
97,upper serangoon shopping centre,mall,542
98,ai tong school,school,935
98,bright hill mrt,mrt,1256
98,the adelphi,mall,202
98,thomson plaza,mall,474
98,thomson v,mall,1233
99,ai tong school,school,1057
99,bright hill mrt,mrt,1359
99,the adelphi,mall,311
99,thomson plaza,mall,559
99,thomson v,mall,1337
100,hougang mrt,mrt,1278
100,hougang rivercourt,mall,1412
100,kovan mrt,mrt,1065
100,tampines 1,mall,490
101,ai tong school,school,1007
101,bright hill mrt,mrt,1417
101,the adelphi,mall,277
101,thomson plaza,mall,0
101,thomson v,mall,785
102,ai tong school,school,891
102,bright hill mrt,mrt,710
102,the adelphi,mall,1271
103,ai tong school,school,1219
103,marymount mrt,mrt,980
103,the adelphi,mall,1014
103,thomson plaza,mall,773
103,thomson v,mall,35
104,bartley mrt,mrt,604
104,hougang 1,mall,1318
104,serangoon mrt,mrt,1126
104,upper serangoon shopping centre,mall,1169
105,ai tong school,school,157
105,bright hill mrt,mrt,581
105,the adelphi,mall,751
105,thomson plaza,mall,849
105,thomson v,mall,1135
106,hougang 1,mall,923
106,imm,mall,589
106,kovan mrt,mrt,1377
106,rosyth school,school,664
106,upper serangoon shopping centre,mall,1085
107,hougang 1,mall,233
107,imm,mall,298
107,rosyth school,school,1323
107,serangoon mrt,mrt,997
107,upper serangoon shopping centre,mall,472
108,hougang mrt,mrt,1216
108,hougang rivercourt,mall,1376
108,kovan mrt,mrt,980
109,bartley mrt,mrt,614
109,hougang 1,mall,1332
109,serangoon mrt,mrt,1204
109,upper serangoon shopping centre,mall,1168
110,marymount mrt,mrt,728
110,the adelphi,mall,1222
110,thomson plaza,mall,949
110,thomson v,mall,358
111,hougang 1,mall,1390
111,imm,mall,1044
111,kovan mrt,mrt,651
111,rosyth school,school,1217
111,upper serangoon shopping centre,mall,1409
112,ai tong school,school,935
112,bright hill mrt,mrt,1256
112,the adelphi,mall,202
112,thomson plaza,mall,474
112,thomson v,mall,1233
113,hougang mrt,mrt,1382
113,kovan mrt,mrt,963
113,tampines 1,mall,563
114,hougang 1,mall,108
114,imm,mall,259
114,kovan mrt,mrt,1478
114,rosyth school,school,1447
114,serangoon mrt,mrt,1046
114,upper serangoon shopping centre,mall,292
115,hougang 1,mall,820
115,imm,mall,559
115,kovan mrt,mrt,752
115,rosyth school,school,1423
115,upper serangoon shopping centre,mall,779
116,bartley mrt,mrt,689
116,hougang 1,mall,1248
116,serangoon mrt,mrt,1132
116,upper serangoon shopping centre,mall,1087
117,bartley mrt,mrt,1455
117,lorong chuan mrt,mrt,1408
117,serangoon mrt,mrt,617
117,woodleigh mrt,mrt,1037
118,hougang 1,mall,236
118,imm,mall,537
118,serangoon mrt,mrt,969
118,upper serangoon shopping centre,mall,73
119,hougang mrt,mrt,1383
119,kovan mrt,mrt,714
119,tampines 1,mall,1423
120,bishan mrt,mrt,1071
120,marymount mrt,mrt,585
120,thomson v,mall,997
121,kovan mrt,mrt,1387
123,amk hub,mall,547
124,hougang 1,mall,1298
124,imm,mall,933
124,kovan mrt,mrt,1184
124,rosyth school,school,669
