Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
AURALIS,"770,000",495.14,"1,555",Dec-21,EAST COAST ROAD,Resale,Strata,46,"16,739",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
COSTA DEL SOL,"2,420,000","1,474.67","1,641",Dec-21,BAYSHORE ROAD,Resale,Strata,137,"17,664",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
RYMDEN 77,"2,040,291","1,184.04","1,723",Dec-21,LORONG H TELOK KURAU,New Sale,Strata,110,"18,548",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MEYER MANSION,"4,577,700","1,765.3","2,593",Dec-21,MEYER ROAD,New Sale,Strata,164,"27,913",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
MEYER MANSION,"2,900,000","1,108.69","2,616",Dec-21,MEYER ROAD,New Sale,Strata,103,"28,155",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
THE CLEARWATER,"1,500,000","1,377.79","1,089",Dec-21,BEDOK RESERVOIR VIEW,Resale,Strata,128,"11,719",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
ONE FORT,"900,000","1,205.57",747,Dec-21,FORT ROAD,Resale,Strata,112,"8,036",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
AXIS @ SIGLAP,"1,308,000",861.12,"1,519",Dec-21,EAST COAST TERRACE,Resale,Strata,80,"16,350",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SEASIDE RESIDENCES,"1,210,000",592.02,"2,044",Dec-21,SIGLAP LINK,Sub Sale,Strata,55,"22,000",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,06 to 10
SANCTUARY GREEN,"1,800,000","1,399.32","1,286",Dec-21,TANJONG RHU ROAD,Resale,Strata,130,"13,846",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
BUTTERWORTH 8,"2,275,000","1,313.21","1,732",Dec-21,BUTTERWORTH LANE,Resale,Strata,122,"18,648",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
ARCHIPELAGO,"990,000",839.59,"1,179",Dec-21,BEDOK RESERVOIR ROAD,Resale,Strata,78,"12,692",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
TANAMERA CREST,"1,050,000","1,205.57",871,Dec-21,PARI DEDAP WALK,Resale,Strata,112,"9,375",-,Condominium,1,99 yrs lease commencing from 2000,16,Outside Central Region,06 to 10
MARINE MEADOWS,"2,200,000","1,689.95","1,302",Dec-21,MARINE PARADE,Resale,Strata,157,"14,013",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER RESIDENCES,"3,918,888","2,217.38","1,767",Dec-21,AMBER ROAD,Resale,Strata,206,"19,024",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
UNITED MANSION,"1,430,000","1,140.98","1,253",Dec-21,EAST COAST ROAD,Resale,Strata,106,"13,491",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE GLADES,"2,050,000","1,560.78","1,313",Dec-21,BEDOK RISE,Resale,Strata,145,"14,138",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,01 to 05
THE SERENNIA,"1,340,000","1,022.58","1,310",Dec-21,PULASAN ROAD,Resale,Strata,95,"14,105",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE BAYSHORE,"1,030,000",947.23,"1,087",Dec-21,BAYSHORE ROAD,Resale,Strata,88,"11,705",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,11 to 15
EIS RESIDENCES,"653,000",505.91,"1,291",Dec-21,HAIG AVENUE,Resale,Strata,47,"13,894",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
COUNTRY PARK CONDOMINIUM,"1,950,000","1,313.21","1,485",Dec-21,BEDOK ROAD,Resale,Strata,122,"15,984",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
MEYER MANSION,"2,888,000","1,108.69","2,605",Dec-21,MEYER ROAD,New Sale,Strata,103,"28,039",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
GRANDEUR PARK RESIDENCES,"1,500,000",893.41,"1,679",Dec-21,BEDOK SOUTH AVENUE 3,Resale,Strata,83,"18,072",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,11 to 15
SANCTUARY GREEN,"1,150,000",850.36,"1,352",Dec-21,TANJONG RHU ROAD,Resale,Strata,79,"14,557",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
CASAFINA,"1,250,000","1,270.15",984,Dec-21,BEDOK SOUTH AVENUE 1,Resale,Strata,118,"10,593",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
AQUARIUS BY THE PARK,"1,240,000","1,205.57","1,029",Dec-21,BEDOK RESERVOIR VIEW,Resale,Strata,112,"11,071",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,11 to 15
THE WATERSIDE,"4,060,000","2,411.14","1,684",Dec-21,TANJONG RHU ROAD,Resale,Strata,224,"18,125",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
SEASIDE RESIDENCES,"1,818,000","1,022.58","1,778",Dec-21,SIGLAP LINK,Sub Sale,Strata,95,"19,137",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,01 to 05
HAIG 162,"1,110,000",818.06,"1,357",Dec-21,HAIG ROAD,Resale,Strata,76,"14,605",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
CHANGI GREEN,"1,285,000","1,216.33","1,056",Dec-21,UPPER CHANGI ROAD EAST,Resale,Strata,113,"11,372",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
77 @ EAST COAST,"1,313,000",775.01,"1,694",Dec-21,UPPER EAST COAST ROAD,New Sale,Strata,72,"18,236",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
CASA FELIZ,"1,228,888","1,216.33","1,010",Dec-21,KOON SENG ROAD,Resale,Strata,113,"10,875",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PALM GALLERIA,"680,000",495.14,"1,373",Dec-21,LORONG K TELOK KURAU,Resale,Strata,46,"14,783",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
WATERFRONT KEY,"1,500,000","1,205.57","1,244",Dec-21,BEDOK RESERVOIR ROAD,Resale,Strata,112,"13,393",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,01 to 05
COSTA RHU,"1,920,000","1,334.74","1,438",Dec-21,RHU CROSS,Resale,Strata,124,"15,484",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
THE PALLADIUM,"2,020,000","1,237.86","1,632",Dec-21,BROOKE ROAD,Resale,Strata,115,"17,565",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SUNHAVEN,"1,400,000","1,259.39","1,112",Dec-21,UPPER CHANGI ROAD EAST,Resale,Strata,117,"11,966",-,Condominium,1,Freehold,16,Outside Central Region,06 to 10
TANAH MERAH MANSION,"1,050,000",871.88,"1,204",Dec-21,TANAH MERAH KECHIL ROAD SOUTH,Resale,Strata,81,"12,963",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
ONE FORT,"1,670,000","1,054.87","1,583",Dec-21,FORT ROAD,Resale,Strata,98,"17,041",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
THE TANAMERA,"1,230,000","1,323.97",929,Dec-21,TANAH MERAH KECHIL ROAD,Resale,Strata,123,"10,000",-,Condominium,1,99 yrs lease commencing from 1990,16,Outside Central Region,06 to 10
COSTA RHU,"2,888,888","1,969.81","1,467",Dec-21,RHU CROSS,Resale,Strata,183,"15,786",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
PEBBLE BAY,"4,600,000","2,626.42","1,751",Dec-21,TANJONG RHU ROAD,Resale,Strata,244,"18,852",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,16 to 20
SILVERSEA,"4,800,000","2,755.58","1,742",Dec-21,MARINE PARADE ROAD,Resale,Strata,256,"18,750",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15
CHANGI COURT,"1,700,000","1,367.03","1,244",Dec-21,UPPER CHANGI ROAD EAST,Resale,Strata,127,"13,386",-,Condominium,1,Freehold,16,Outside Central Region,06 to 10
SUNNY PALMS,"1,300,000","1,130.22","1,150",Dec-21,LORONG G TELOK KURAU,Resale,Strata,105,"12,381",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
NYON,"1,318,000",484.38,"2,721",Dec-21,AMBER ROAD,New Sale,Strata,45,"29,289",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
MEYER MANSION,"2,925,000","1,108.69","2,638",Dec-21,MEYER ROAD,New Sale,Strata,103,"28,398",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
ONE MEYER,"2,561,000","1,033.34","2,478",Dec-21,MEYER PLACE,New Sale,Strata,96,"26,677",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
THE CLEARWATER,"1,440,000","1,334.74","1,079",Dec-21,BEDOK RESERVOIR VIEW,Resale,Strata,124,"11,613",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
ONAN SUITES,"700,000",473.62,"1,478",Dec-21,ONAN ROAD,Resale,Strata,44,"15,909",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
CHANGI COURT,"975,000",968.76,"1,006",Dec-21,UPPER CHANGI ROAD EAST,Resale,Strata,90,"10,833",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
MEYER MANSION,"3,763,000","1,496.2","2,515",Dec-21,MEYER ROAD,New Sale,Strata,139,"27,072",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
AMBER SKYE,"5,330,000","3,347.6","1,592",Dec-21,AMBER ROAD,Resale,Strata,311,"17,138",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
THE WATERSIDE,"3,700,000","2,142.04","1,727",Dec-21,TANJONG RHU ROAD,Resale,Strata,199,"18,593",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
ONE FORT,"1,790,000","1,054.87","1,697",Dec-21,FORT ROAD,Resale,Strata,98,"18,265",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
SIGLAP V,"1,160,000",914.94,"1,268",Dec-21,FIRST STREET,Resale,Strata,85,"13,647",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MANDARIN GARDENS,"988,000",731.95,"1,350",Dec-21,SIGLAP ROAD,Resale,Strata,68,"14,529",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,21 to 25
WATERFRONT KEY,"1,150,000",850.36,"1,352",Dec-21,BEDOK RESERVOIR ROAD,Resale,Strata,79,"14,557",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,01 to 05
WATERFRONT WAVES,"1,600,000","1,291.68","1,239",Dec-21,BEDOK RESERVOIR ROAD,Resale,Strata,120,"13,333",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,01 to 05
INFINI AT EAST COAST,"1,608,000",753.48,"2,134",Dec-21,EAST COAST ROAD,New Sale,Strata,70,"22,971",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
COASTLINE RESIDENCES,"3,070,000","1,108.69","2,769",Dec-21,AMBER ROAD,New Sale,Strata,103,"29,806",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
URBAN VISTA,"1,150,000",850.36,"1,352",Dec-21,TANAH MERAH KECHIL LINK,Resale,Strata,79,"14,557",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
COTE D'AZUR,"2,380,000","1,388.56","1,714",Dec-21,MARINE PARADE ROAD,Resale,Strata,129,"18,450",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,16 to 20
CHANGI COURT,"960,000",871.88,"1,101",Dec-21,UPPER CHANGI ROAD EAST,Resale,Strata,81,"11,852",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
91 MARSHALL,"970,000",570.49,"1,700",Dec-21,MARSHALL ROAD,Resale,Strata,53,"18,302",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
ONE AMBER,"1,916,000",958,"2,000",Dec-21,AMBER GARDENS,Resale,Strata,89,"21,528",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
CASERO @ DUNMAN,"1,750,000","1,528.49","1,145",Dec-21,DUNMAN ROAD,Resale,Strata,142,"12,324",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LAGOON VIEW,"1,820,000","1,646.89","1,105",Dec-21,MARINE PARADE ROAD,Resale,Strata,153,"11,895",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,16 to 20
THE GERANIUM,"950,000",753.48,"1,261",Dec-21,MANGIS ROAD,Resale,Strata,70,"13,571",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
BOON COURT,"1,280,000","1,496.2",856,Dec-21,STILL ROAD,Resale,Strata,139,"9,209",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PALMWOODS,"1,105,000","1,216.33",908,Dec-21,UPPER CHANGI ROAD,Resale,Strata,113,"9,779",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
COSTA RHU,"1,950,000","1,399.32","1,394",Dec-21,RHU CROSS,Resale,Strata,130,"15,000",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
COASTARINA,"1,330,000",839.59,"1,584",Dec-21,EAST COAST ROAD,Resale,Strata,78,"17,051",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE WATERSIDE,"4,170,000","2,400.37","1,737",Dec-21,TANJONG RHU ROAD,Resale,Strata,223,"18,700",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
