Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE COAST AT SENTOSA COVE,"3,250,000","2,357.32","1,379",May-25,OCEAN DRIVE,Resale,Strata,219,"14,840",-,Condominium,1,99 yrs lease commencing from 2006,04,Core Central Region,01 to 05
SEASCAPE,"4,483,000","2,174.33","2,062",May-25,COVE WAY,Resale,Strata,202,"22,193",-,Condominium,1,99 yrs lease commencing from 2007,04,Core Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"1,730,000","1,011.82","1,710",May-25,KEPPEL BAY VIEW,Resale,Strata,94,"18,404",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
THE ANCHORAGE,"2,930,000","1,463.9","2,001",May-25,ALEXANDRA ROAD,Resale,Strata,136,"21,544",-,Condominium,1,Freehold,03,Rest of Central Region,01 to 05
SKYLINE RESIDENCES,"1,070,000",484.38,"2,209",May-25,TELOK BLANGAH ROAD,Resale,Strata,45,"23,778",-,Condominium,1,Freehold,04,Rest of Central Region,11 to 15
RIVIERE,"2,428,888",839.59,"2,893",May-25,JIAK KIM STREET,Resale,Strata,78,"31,140",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,16 to 20
ONE PEARL BANK,"2,275,000",839.59,"2,710",May-25,PEARL BANK,Sub Sale,Strata,78,"29,167",-,Apartment,1,99 yrs lease commencing from 2019,03,Rest of Central Region,36 to 40
ARTRA,"2,520,000","1,044.11","2,414",May-25,ALEXANDRA VIEW,Resale,Strata,97,"25,979",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,11 to 15
QUEENS PEAK,"1,630,000",807.3,"2,019",May-25,DUNDEE ROAD,Resale,Strata,75,"21,733",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,11 to 15
ALEX RESIDENCES,"1,570,000",678.13,"2,315",May-25,ALEXANDRA VIEW,Resale,Strata,63,"24,921",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,31 to 35
THE OCEANFRONT @ SENTOSA COVE,"2,680,000","1,679.18","1,596",May-25,OCEAN DRIVE,Resale,Strata,156,"17,179",-,Condominium,1,99 yrs lease commencing from 2005,04,Core Central Region,01 to 05
COMMONWEALTH TOWERS,"2,500,000","1,054.87","2,370",May-25,COMMONWEALTH AVENUE,Resale,Strata,98,"25,510",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
SKYLINE RESIDENCES,"1,060,000",484.38,"2,188",May-25,TELOK BLANGAH ROAD,Resale,Strata,45,"23,556",-,Condominium,1,Freehold,04,Rest of Central Region,11 to 15
ECHELON,"3,170,000","1,474.67","2,150",May-25,ALEXANDRA VIEW,Resale,Strata,137,"23,139",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,21 to 25
STIRLING RESIDENCES,"1,720,000",678.13,"2,536",May-25,STIRLING ROAD,Resale,Strata,63,"27,302",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
THE FORESTA @ MOUNT FABER,"875,000",430.56,"2,032",May-25,WISHART ROAD,Resale,Strata,40,"21,875",-,Condominium,1,Freehold,04,Rest of Central Region,01 to 05
DOMAIN 21,"2,650,000","1,280.92","2,069",May-25,DELTA ROAD,Resale,Strata,119,"22,269",-,Condominium,1,99 yrs lease commencing from 2004,03,Rest of Central Region,16 to 20
HIGHLINE RESIDENCES,"1,708,000",699.66,"2,441",May-25,KIM TIAN ROAD,Resale,Strata,65,"26,277",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,31 to 35
ONE PEARL BANK,"1,398,000",559.73,"2,498",May-25,PEARL BANK,Sub Sale,Strata,52,"26,885",-,Apartment,1,99 yrs lease commencing from 2019,03,Rest of Central Region,21 to 25
ARTRA,"2,745,000","1,227.1","2,237",May-25,ALEXANDRA VIEW,Resale,Strata,114,"24,079",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,06 to 10
EMERALD PARK,"1,720,000","1,410.08","1,220",May-25,INDUS ROAD,Resale,Strata,131,"13,130",-,Condominium,1,99 yrs lease commencing from 1991,03,Rest of Central Region,11 to 15
MARGARET VILLE,"1,078,000",527.44,"2,044",May-25,MARGARET DRIVE,Resale,Strata,49,"22,000",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
RIVER PLACE,"2,800,000","1,657.66","1,689",May-25,HAVELOCK ROAD,Resale,Strata,154,"18,182",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
THE INTERLACE,"1,650,000","1,001.05","1,648",May-25,DEPOT ROAD,Resale,Strata,93,"17,742",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"1,508,000",624.31,"2,415",May-25,STIRLING ROAD,Resale,Strata,58,"26,000",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
ALEXIS,"970,000",516.67,"1,877",May-25,ALEXANDRA ROAD,Resale,Strata,48,"20,208",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
PRINCIPAL GARDEN,"1,910,000",807.3,"2,366",May-25,PRINCE CHARLES CRESCENT,Resale,Strata,75,"25,467",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,16 to 20
TWIN REGENCY,"3,378,000","1,442.38","2,342",May-25,KIM TIAN ROAD,Resale,Strata,134,"25,209",-,Condominium,1,Freehold,03,Rest of Central Region,31 to 35
COMMONWEALTH TOWERS,"960,000",441.32,"2,175",May-25,COMMONWEALTH AVENUE,Resale,Strata,41,"23,415",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
AVENUE SOUTH RESIDENCE,"1,433,000",656.6,"2,182",May-25,SILAT AVENUE,Resale,Strata,61,"23,492",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,11 to 15
SKYLINE RESIDENCES,"3,550,000","1,722.24","2,061",May-25,TELOK BLANGAH ROAD,Resale,Strata,160,"22,188",-,Condominium,1,Freehold,04,Rest of Central Region,06 to 10
CARIBBEAN AT KEPPEL BAY,"2,398,800","1,280.92","1,873",May-25,KEPPEL BAY DRIVE,Resale,Strata,119,"20,158",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"1,552,000",688.9,"2,253",May-25,COMMONWEALTH AVENUE,Resale,Strata,64,"24,250",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
TERESA VILLE,"3,188,888","1,980.58","1,610",May-25,LOWER DELTA ROAD,Resale,Strata,184,"17,331",-,Condominium,1,Freehold,04,Rest of Central Region,11 to 15
THE LANDMARK,"1,030,000",495.14,"2,080",May-25,CHIN SWEE ROAD,Sub Sale,Strata,46,"22,391",-,Condominium,1,99 yrs lease commencing from 2020,03,Rest of Central Region,01 to 05
AVENUE SOUTH RESIDENCE,"2,688,000","1,108.69","2,424",May-25,SILAT AVENUE,Resale,Strata,103,"26,097",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,21 to 25
PRINCIPAL GARDEN,"1,690,000",785.77,"2,151",May-25,PRINCE CHARLES CRESCENT,Resale,Strata,73,"23,151",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,06 to 10
