Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LENTOR CENTRAL RESIDENCES,"3,098,000","1,399.32","2,214",Jun-25,LENTOR CENTRAL,New Sale,Strata,130,"23,831",-,Condominium,1,99 years leasehold,26,Outside Central Region,21 to 25
THE ARCADY AT BOON KENG,"1,992,000",764.24,"2,606",Jun-25,SAINT BARNABAS LANE,New Sale,Strata,71,"28,056",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
THE ARCADY AT BOON KENG,"3,258,000","1,280.92","2,543",Jun-25,SAINT BARNABAS LANE,New Sale,Strata,119,"27,378",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
AMBER HOUSE,"1,912,925",635.08,"3,012",Jun-25,AMBER GARDENS,New Sale,Strata,59,"32,422",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER HOUSE,"2,175,405",731.95,"2,972",Jun-25,AMBER GARDENS,New Sale,Strata,68,"31,991",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER HOUSE,"2,177,837",753.48,"2,890",Jun-25,AMBER GARDENS,New Sale,Strata,70,"31,112",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
AMBER HOUSE,"2,199,168",753.48,"2,919",Jun-25,AMBER GARDENS,New Sale,Strata,70,"31,417",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
BLOOMSBURY RESIDENCES,"1,744,000",688.9,"2,532",Jun-25,MEDIA CIRCLE,New Sale,Strata,64,"27,250",-,Apartment,1,99 years leasehold,05,Rest of Central Region,01 to 05
BLOOMSBURY RESIDENCES,"1,804,000",688.9,"2,619",Jun-25,MEDIA CIRCLE,New Sale,Strata,64,"28,188",-,Apartment,1,99 years leasehold,05,Rest of Central Region,11 to 15
THE LAKEGARDEN RESIDENCES,"2,799,000","1,237.86","2,261",Jun-25,YUAN CHING ROAD,New Sale,Strata,115,"24,339",-,Apartment,1,99 years leasehold,22,Outside Central Region,01 to 05
