searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
how sun drive,,how sun drive,nil,how sun drive,nil,33075.7768562649,36303.5221611005,1.34459023124875,103.8789274989,how sun drive,condo
fragrance court,12,yew siang road,fragrance court,12 yew siang road fragrance court singapore 117752,117752,23526.4587218808,28861.3061428014,1.27728558824322,103.793122156661,fragrance court,condo
the belmont,1a,belmont road,the belmont,1a belmont road the belmont singapore 269853,269853,24129.9649059754,32840.8244128935,1.31327502508264,103.798544391395,the belmont,condo
riversails,10,upper serangoon crescent,riversails,10 upper serangoon crescent riversails singapore 534031,534031,35768.6466897428,40076.8775331024,1.37871453246915,103.903125576064,riversails,condo
kensington park drive,,kensington park drive,nil,kensington park drive,nil,31897.0856292069,38881.4659964435,1.36790432910871,103.8683366038,kensington park drive,condo
the tembusu,107c,tampines road,the tembusu,107c tampines road the tembusu singapore 534007,534007,34311.2470572535,38185.1631773449,1.36160690195093,103.890029372368,the tembusu,condo
1 jalan aruan singapore 229098,1,jalan aruan,nil,1 jalan aruan singapore 229098,229098,29073.8955360036,32838.2642862946,1.31325209714281,103.842968064456,jalan aruan,condo
silat avenue,,silat avenue,nil,silat avenue,nil,27691.0933622061,28773.7945461776,1.27649447910994,103.830542939595,silat avenue,condo
tan kim cheng road,,tan kim cheng road,nil,tan kim cheng road,nil,25632.2988752661,33774.5937643517,1.32172074181357,103.812044320123,tan kim cheng road,condo
suites @ paya lebar,420,upper paya lebar road,suites @ paya lebar,420 upper paya lebar road suites @ paya lebar singapore 534049,534049,33220.7760515939,36945.5586983096,1.35039657607709,103.880230544693,suites @ paya lebar,condo
the axis,47,mandalay road,the axis,47 mandalay road the axis singapore 308227,308227,29851.7543867053,34095.4876073133,1.32462194319897,103.849957588255,the axis,condo
m5,5,jalan mutiara,m5,5 jalan mutiara m5 singapore 249185,249185,27503.7715456067,30893.7473724075,1.2956665859268,103.82885975081,m5,condo
parc stevens,25,stevens drive,parc stevens,25 stevens drive parc stevens singapore 257922,257922,27267.1397178471,33242.9532519244,1.3169119711607,103.826733455519,parc stevens,condo
mendon spring,198,pasir panjang road,mendon spring,198 pasir panjang road mendon spring singapore 117526,117526,22930.48478607,29014.2262014784,1.27866845329676,103.787767087156,mendon spring,condo
suites @ shrewsbury,84,shrewsbury road,suites @ shrewsbury,84 shrewsbury road suites @ shrewsbury singapore 307842,307842,29734.7367877187,33385.2702845633,1.31819899592367,103.848906082215,suites @ shrewsbury,condo
prospero ville,127,lorong k telok kurau,prospero ville,127 lorong k telok kurau prospero ville singapore 425766,425766,37028.6668632608,32919.3237325009,1.3139838637399,103.91444563651,prospero ville,condo
twin vew,93,west coast vale,twin vew,93 west coast vale twin vew singapore 126756,126756,19027.8715300793,33550.021341376,1.31968768006034,103.752699363733,twin vew,condo
eastwood green,10,eastwood road,eastwood green,10 eastwood road eastwood green singapore 486364,486364,41513.1721783178,33845.6166542806,1.32235926711929,103.954741499799,eastwood green,condo
21 rhu cross singapore 437438,21,rhu cross,nil,21 rhu cross singapore 437438,437438,31867.5358153917,30703.8062401656,1.29394858976016,103.868070044794,rhu cross,condo
idyllic east,576,upper east coast road,idyllic east,576 upper east coast road idyllic east singapore 466588,466588,40552.9230887368,33152.1039896011,1.3160878054443,103.946112888683,idyllic east,condo
central boulevard,,central boulevard,nil,central boulevard,nil,30655.100463311,28787.2506358307,1.27661641863168,103.857175083123,central boulevard,condo
old upper thomson road,,old upper thomson road,nil,old upper thomson road,nil,27371.8381663409,39120.8099982076,1.37007517956729,103.827677980584,upper thomson road,condo
27 jalan sendudok singapore 769459,27,jalan sendudok,nil,27 jalan sendudok singapore 769459,769459,27310.3594928682,47199.1678311508,1.44312698059643,103.827121479812,jalan sendudok,condo
joo chiat verbena,275,joo chiat place,joo chiat verbena,275 joo chiat place joo chiat verbena singapore 427955,427955,36189.992701903,33001.9600195866,1.31473143131445,103.906909758761,joo chiat verbena,condo
amber point,1,amber road,amber point,1 amber road amber point singapore 439845,439845,35256.6566927247,31247.0976304021,1.29886131925695,103.898522862752,amber point,condo
dover rise,,dover rise,nil,dover rise,nil,22605.501673082,31897.514804018,1.30474390810361,103.784846499322,dover rise,condo
edenz loft,11,lorong 24 geylang,edenz loft,11 lorong 24 geylang edenz loft singapore 398623,398623,33588.312217393,32735.0137467552,1.3123178474915,103.883532317959,edenz loft,condo
edelweiss park condominium,100,flora road,edelweiss park condominium,100 flora road edelweiss park condominium singapore 509743,509743,42958.912099191,37609.5579298381,1.35639824853602,103.96773406082,edelweiss park condominium,condo
38 dalvey road singapore 259512,38,dalvey road,nil,38 dalvey road singapore 259512,259512,26373.0892208992,33091.3431613147,1.3155408286545,103.818699963699,d' dalvey,condo
mar thoma mansions,28,mar thoma road,mar thoma mansions,28 mar thoma road mar thoma mansions singapore 328708,328708,31324.113122643,34459.3180335984,1.32791217152286,103.863187561929,mansions 28,condo
teo kim eng road,,teo kim eng road,nil,teo kim eng road,nil,36360.6993844229,34487.0646713714,1.32816257852966,103.908443327003,teo kim eng road,condo
one amber,1,amber gardens,one amber,1 amber gardens one amber singapore 439957,439957,35217.0175899081,31525.1992594358,1.30137638010264,103.898166752118,one amber,condo
regency park,15,nathan road,regency park,15 nathan road regency park singapore 248741,248741,27265.1337677622,30925.9992105812,1.29595825548386,103.82671548586,regency park,condo
crane road,,crane road,nil,crane road,nil,35311.2004684226,32756.953173169,1.31251589201217,103.899013307424,crane road,condo
